caso;id_caso;asignada_a;reportado_el;prioridad;nro_doc_contacto;fecha_cambio_estado;motivo;estado;motivos_de_estado;contacto_relacionado;contacto_region;contacto_email;etiqueta
107;861;ACAP;1 feb. 2024 09:18;Media;;1 feb. 2024 09:18;ACAP;En curso;4. Avanzado;CPCECABA Consejo Profesional de Ciencias Económicas;;;2024
106;860;ACAP;1 feb. 2024 09:16;Media;;1 feb. 2024 09:17;ACAP;En curso;4. Avanzado;CPCECABA Consejo Profesional de Ciencias Económicas;;;2024
105;859;ACAP;31 ene. 2024 13:51;Media;;31 ene. 2024 13:51;ACAP;En curso;3. En proceso;Microsoft de Argentina S.R.L. Microsoft de Argentina S.R.L.;;microsoft@microsoft.com;2024
104;858;ACAP;31 ene. 2024 12:39;Media;;2 feb. 2024 12:29;ACAP;En curso;4. Avanzado;Subsecretaría de Emergencias Subsecretaría de Emergencias;;emergencias@mail.no;2024
103;857;ACAP;31 ene. 2024 12:27;Media;;2 feb. 2024 12:29;ACAP;En curso;3. En proceso;ASRA Asociación de Sociólogos de la República Argentina;;;2024
102;856;ACAP;31 ene. 2024 11:59;Media;;31 ene. 2024 12:06;ACAP;En curso;3. En proceso;Sede Comunal 14 Sede Comunal 14;;;2024 Participa
101;855;ACAP;31 ene. 2024 11:25;Media;;31 ene. 2024 11:36;ACAP;En curso;4. Avanzado;Museo Benito Quinquela Martín - SSGEFYAR Museo Benito Quinquela Martín - SSGEFYAR;;;2024 Participa
100;854;ACAP;30 ene. 2024 15:03;Media;;2 feb. 2024 12:25;ACAP;En curso;4. Avanzado;Facultad de Filosofía y Letras (UBA) Facultad de Filosofía y Letras (UBA);;filosofia@mail.no;2024
99;853;ACAP;30 ene. 2024 15:02;Media;;2 feb. 2024 12:26;ACAP;En curso;4. Avanzado;Facultad de Filosofía y Letras (UBA) Facultad de Filosofía y Letras (UBA);;filosofia@mail.no;2024
98;852;ACAP;30 ene. 2024 15:01;Media;;2 feb. 2024 12:28;ACAP;En curso;4. Avanzado;Facultad de Filosofía y Letras (UBA) Facultad de Filosofía y Letras (UBA);;filosofia@mail.no;2024
97;851;ACAP;30 ene. 2024 14:59;Media;;2 feb. 2024 12:30;ACAP;En curso;4. Avanzado;Facultad de Filosofía y Letras (UBA) Facultad de Filosofía y Letras (UBA);;filosofia@mail.no;2024
96;850;ACAP;30 ene. 2024 14:58;Media;;2 feb. 2024 12:30;ACAP;En curso;4. Avanzado;Facultad de Filosofía y Letras (UBA) Facultad de Filosofía y Letras (UBA);;filosofia@mail.no;2024
95;849;ACAP;30 ene. 2024 14:56;Media;;2 feb. 2024 12:30;ACAP;En curso;4. Avanzado;Facultad de Filosofía y Letras (UBA) Facultad de Filosofía y Letras (UBA);;filosofia@mail.no;2024
94;848;ACAP;30 ene. 2024 13:52;Media;;30 ene. 2024 13:52;ACAP;En curso;3. En proceso;MIAVASA MIAVASA S.A;;;2024 Participa
93;847;ACAP;30 ene. 2024 12:58;Media;;30 ene. 2024 12:59;ACAP;En curso;4. Avanzado;CPCECABA Consejo Profesional de Ciencias Económicas;;;2024
92;846;ACAP;30 ene. 2024 12:56;Media;;30 ene. 2024 12:57;ACAP;En curso;4. Avanzado;CPCECABA Consejo Profesional de Ciencias Económicas;;;2024
91;845;ACAP;30 ene. 2024 12:49;Media;;30 ene. 2024 12:50;ACAP;En curso;3. En proceso;GIV GIV;;giv@mail.no;2024
90;844;ACAP;30 ene. 2024 12:46;Media;;30 ene. 2024 12:47;ACAP;En curso;4. Avanzado;GIV GIV;;giv@mail.no;2024
89;843;ACAP;30 ene. 2024 12:43;Media;;30 ene. 2024 12:44;ACAP;En curso;3. En proceso;NUEVA ESCUELA DE DISEÑO Y COMUNICACIÓN NUEVA ESCUELA DE DISEÑO Y COMUNICACIÓN;;;2024 Participa
88;842;ACAP;30 ene. 2024 12:30;Media;;2 feb. 2024 12:31;ACAP;En curso;3. En proceso;El Sábato Espacio Cultural El Sábato Espacio Cultural;;sabato@mail.no;2024
87;841;ACAP;30 ene. 2024 12:17;Media;;30 ene. 2024 12:18;ACAP;En curso;3. En proceso;El Estado en Tu Barrio El Estado en Tu Barrio;;;Baja
86;840;ACAP;30 ene. 2024 12:12;Media;;30 ene. 2024 12:12;ACAP;En curso;3. En proceso;El Estado en Tu Barrio El Estado en Tu Barrio;;;Baja
85;839;ACAP;30 ene. 2024 12:05;Media;;30 ene. 2024 12:06;ACAP;En curso;3. En proceso;El Estado en Tu Barrio El Estado en Tu Barrio;;;Baja
84;838;ACAP;30 ene. 2024 11:59;Media;;30 ene. 2024 12:10;ACAP;En curso;3. En proceso;El Estado en Tu Barrio El Estado en Tu Barrio;;;Baja
83;837;ACAP;30 ene. 2024 11:48;Media;;2 feb. 2024 12:32;ACAP;En curso;4. Avanzado;UFLO Universidad de Flores;;;2024
82;836;ACAP;30 ene. 2024 11:46;Media;;2 feb. 2024 12:32;ACAP;En curso;4. Avanzado;UFLO Universidad de Flores;;;2024
81;835;ACAP;30 ene. 2024 11:42;Media;;30 ene. 2024 11:42;ACAP;En curso;4. Avanzado;CPCECABA Consejo Profesional de Ciencias Económicas;;;2024
80;834;ACAP;30 ene. 2024 11:37;Media;;30 ene. 2024 11:37;ACAP;Nuevo;;Gerencia Operativa de Lenguas GOLE Gerencia Operativa de Lenguas GOLE;;gole@mail.com;
79;833;ACAP;30 ene. 2024 11:37;Media;;30 ene. 2024 11:37;ACAP;En curso;4. Avanzado;CPCECABA Consejo Profesional de Ciencias Económicas;;;2024
78;832;ACAP;30 ene. 2024 11:12;Media;;30 ene. 2024 11:39;ACAP;En curso;4. Avanzado;UFLO Universidad de Flores;;;2024
77;831;ACAP;30 ene. 2024 11:10;Media;;30 ene. 2024 11:39;ACAP;En curso;4. Avanzado;UFLO Universidad de Flores;;;2024
76;830;ACAP;29 ene. 2024 14:43;Media;;29 ene. 2024 14:43;ACAP;En curso;3. En proceso;Banco Ciudad de Buenos Aires Banco Ciudad de Buenos Aires;;;2024
75;829;ACAP;29 ene. 2024 14:42;Media;;29 ene. 2024 14:42;ACAP;En curso;3. En proceso;Banco Ciudad de Buenos Aires Banco Ciudad de Buenos Aires;;;2024
74;828;ACAP;29 ene. 2024 14:29;Media;;29 ene. 2024 14:30;ACAP;En curso;3. En proceso;IBM IBM Argentina SRL;Ciudad Autónoma de Buenos Aires;ibm@mail.com;2024
73;827;ACAP;29 ene. 2024 14:20;Media;;29 ene. 2024 14:20;ACAP;En curso;3. En proceso;Banco Galicia Banco Galicia;;;2024
72;826;ACAP;29 ene. 2024 13:58;Media;;29 ene. 2024 13:59;ACAP;En curso;3. En proceso;Banco Ciudad de Buenos Aires Banco Ciudad de Buenos Aires;;;2024
71;825;ACAP;29 ene. 2024 13:28;Media;;29 ene. 2024 13:29;ACAP;En curso;4. Avanzado;CLIBA INGENIERIA URBANA SA CLIBA INGENIERIA URBANA SA;;cliba@mail.no;2024
70;824;ACAP;29 ene. 2024 13:14;Media;;29 ene. 2024 13:18;ACAP;En curso;4. Avanzado;Centro Cultural 25 de Mayo Centro Cultural 25 de Mayo;;cultural@mail.no;2024
69;823;ACAP;29 ene. 2024 12:17;Media;;29 ene. 2024 12:19;ACAP;En curso;3. En proceso;URBASUR URBASUR;;info@urbasur.com.ar;2024 Participa
68;822;ACAP;29 ene. 2024 11:47;Media;;29 ene. 2024 11:47;ACAP;En curso;3. En proceso;Oracle Oracle Argentina S.R.L;;;2024
67;821;ACAP;29 ene. 2024 11:15;Media;;29 ene. 2024 11:26;ACAP;En curso;3. En proceso;Hipotecario Seguros - BHN Vida S.A. Hipotecario Seguros - BHN Vida S.A.;;;2024
66;820;ACAP;29 ene. 2024 11:14;Media;;29 ene. 2024 11:33;ACAP;En curso;4. Avanzado;Instituto de Formación Política y Gestión Pública Instituto de Formación Política y Gestión Pública;;formacionpolitica@mail.no;2024
65;819;ACAP;29 ene. 2024 11:05;Media;;29 ene. 2024 11:06;ACAP;En curso;3. En proceso;Banco Hipotecario Banco Hipotecario;;;2024
64;818;ACAP;29 ene. 2024 10:44;Media;;29 ene. 2024 10:44;ACAP;En curso;3. En proceso;OSDE - Organización de Servicios Directos Empresarios OSDE - Organización de Servicios Directos Empresarios;;;2024
63;817;ACAP;29 ene. 2024 10:35;Media;;29 ene. 2024 11:37;ACAP;En curso;3. En proceso;Maco Buenos Aires Comunicación y Publicidad Maco Buenos Aires Comunicación y Publicidad;;maco@mail.no;2024
62;816;ACAP;29 ene. 2024 09:40;Media;;29 ene. 2024 11:38;ACAP;En curso;3. En proceso;Maco Buenos Aires Comunicación y Publicidad Maco Buenos Aires Comunicación y Publicidad;;maco@mail.no;2024
61;815;ACAP;29 ene. 2024 08:48;Media;;29 ene. 2024 11:39;ACAP;En curso;3. En proceso;Maco Buenos Aires Comunicación y Publicidad Maco Buenos Aires Comunicación y Publicidad;;maco@mail.no;2024
60;814;ACAP;26 ene. 2024 01:54;Media;;26 ene. 2024 02:00;ACAP;En curso;3. En proceso;Sehos S.A. Sehos S.A.;Ciudad Autónoma de Buenos Aires;;2024
59;813;ACAP;25 ene. 2024 17:14;Media;;2 feb. 2024 12:32;ACAP;En curso;3. En proceso;EMAE Escuela Metropolitana de Altos Estudios;;;2024
58;812;ACAP;25 ene. 2024 15:49;Media;;25 ene. 2024 15:49;ACAP;Nuevo;;United Way Argentina Fundación Caminando Juntos United Way Argentina Fundación Caminando Juntos;;;
57;811;ACAP;25 ene. 2024 13:43;Media;;25 ene. 2024 13:43;ACAP;Nuevo;;Dirección General de Violencia de Género Dirección General de Violencia de Género;;genero@mail.no;
56;810;ACAP;25 ene. 2024 13:21;Media;;25 ene. 2024 13:21;ACAP;En curso;4. Avanzado;Subsecretaría de Emergencias Subsecretaría de Emergencias;;emergencias@mail.no;2024
55;809;ACAP;25 ene. 2024 13:18;Media;;25 ene. 2024 13:19;ACAP;En curso;4. Avanzado;Subsecretaría de Emergencias Subsecretaría de Emergencias;;emergencias@mail.no;2024
54;808;ACAP;25 ene. 2024 12:51;Media;;25 ene. 2024 15:47;ACAP;En curso;3. En proceso;UCA Universidad Católica Argentina;Ciudad Autónoma de Buenos Aires;;2024
53;807;ACAP;25 ene. 2024 12:33;Media;;31 ene. 2024 09:57;ACAP;Archivado;9. Mal cargado;María Mercedes Hirsch;;m.mercedes.hirsch@gmail.com;NO VISIBLE
52;806;ACAP;25 ene. 2024 12:16;Media;;25 ene. 2024 12:23;ACAP;En curso;3. En proceso;Dirección General de la Mujer Dirección General de la Mujer;;;2024
51;805;ACAP;25 ene. 2024 12:03;Media;;25 ene. 2024 12:24;ACAP;En curso;4. Avanzado;ISFD Polo Educativo IMPA ISFD Polo Educativo IMPA;;poloeducativoimpa@mail.no;2024
50;804;ACAP;25 ene. 2024 11:43;Media;;2 feb. 2024 12:33;ACAP;En curso;4. Avanzado;Accenture Accenture;;;2024
49;803;ACAP;25 ene. 2024 11:42;Media;;2 feb. 2024 12:34;ACAP;En curso;4. Avanzado;Accenture Accenture;;;2024
48;802;ACAP;25 ene. 2024 11:35;Media;;2 feb. 2024 12:34;ACAP;Cancelado;;Accenture Accenture;;;2024 Baja
47;801;ACAP;25 ene. 2024 11:25;Media;;25 ene. 2024 12:25;ACAP;En curso;4. Avanzado;Fundación YFU (Youth for Understanding) Juventud para el entendimiento Fundación YFU (Youth for Understanding) Juventud para el entendimiento;;;2024
46;800;ACAP;23 ene. 2024 17:03;Media;;23 ene. 2024 17:04;ACAP;En curso;4. Avanzado;Vivera orgánica Vivera orgánica Rodrigo Bueno;;;2024 Participa
45;799;ACAP;23 ene. 2024 16:57;Media;;23 ene. 2024 16:59;ACAP;En curso;4. Avanzado;Vivera orgánica Vivera orgánica Rodrigo Bueno;;;2024 Participa
44;798;ACAP;23 ene. 2024 15:10;Media;;23 ene. 2024 15:59;ACAP;En curso;3. En proceso;ECOPARQUE ECOPARQUE;;;2024
43;797;ACAP;23 ene. 2024 14:47;Media;;23 ene. 2024 14:47;ACAP;En curso;3. En proceso;Club Atlético San Lorenzo de Almagro Club Atlético San Lorenzo de Almagro;;;2024
42;796;ACAP;23 ene. 2024 14:45;Media;;23 ene. 2024 14:45;ACAP;En curso;3. En proceso;Fundación River River Plate;Ciudad Autónoma de Buenos Aires;info@fundacionriver.org.ar;2024 Participa
41;795;ACAP;23 ene. 2024 14:43;Media;;23 ene. 2024 14:44;ACAP;En curso;3. En proceso;El Estado en Tu Barrio El Estado en Tu Barrio;;;Baja
40;794;ACAP;23 ene. 2024 14:41;Media;;23 ene. 2024 14:41;ACAP;En curso;3. En proceso;Indaltec Indaltec;;;2024 Participa
39;793;ACAP;23 ene. 2024 14:36;Media;;23 ene. 2024 14:37;ACAP;En curso;3. En proceso;Gestión Cultural - SSGEFYAR Ex Huellas de la Escuela -;;;2024 Participa
38;792;ACAP;23 ene. 2024 14:35;Media;;23 ene. 2024 14:35;ACAP;En curso;3. En proceso;Club Atlético River Plate CARP;;;2024 Participa
37;791;ACAP;23 ene. 2024 14:29;Media;;23 ene. 2024 14:29;ACAP;En curso;3. En proceso;MIAVASA MIAVASA S.A;;;2024 Participa
36;790;ACAP;23 ene. 2024 14:28;Media;;23 ene. 2024 14:29;ACAP;En curso;4. Avanzado;Kainos Kainos SAU Argentina;;gustavo.fernandez@kainos.com;2024 Participa
35;789;ACAP;23 ene. 2024 14:20;Media;;30 ene. 2024 12:40;ACAP;En curso;3. En proceso;NUEVA ESCUELA DE DISEÑO Y COMUNICACIÓN NUEVA ESCUELA DE DISEÑO Y COMUNICACIÓN;;;2024 Participa
34;788;ACAP;23 ene. 2024 11:37;Media;;1 feb. 2024 12:01;ACAP;En curso;4. Avanzado;Potrero Digital Fundación Compromiso - Potrero Digital;;;2024
33;787;ACAP;23 ene. 2024 11:32;Media;;23 ene. 2024 11:33;ACAP;En curso;3. En proceso;UVI TECH S.A.P.I. De C.V. ( KAVAK) UVI TECH S.A.P.I. De C.V. ( KAVAK);;info@kavak.com;2024
32;786;ACAP;23 ene. 2024 11:26;Media;;23 ene. 2024 11:28;ACAP;En curso;3. En proceso;Isef 1 Romero Brest Isef 1 Romero Brest;;romero@mail.no;2024
31;785;ACAP;23 ene. 2024 11:23;Media;;23 ene. 2024 11:24;ACAP;En curso;3. En proceso;Isef 1 Romero Brest Isef 1 Romero Brest;;romero@mail.no;2024
30;784;ACAP;22 ene. 2024 16:41;Media;;22 ene. 2024 16:43;ACAP;En curso;4. Avanzado;Dirección Biblioteca del Docente (Subsecretaría de Coordinación Pedagó Dirección Biblioteca del Docente (Subsecretaría de Coordinación Pedagó;;biblioteca.docente@bue.edu.ar;2024
29;783;ACAP;22 ene. 2024 16:09;Media;;22 ene. 2024 16:10;ACAP;Finalizado;5. Cerrado con equipo pedagógico;Dirección Biblioteca del Docente (Subsecretaría de Coordinación Pedagó Dirección Biblioteca del Docente (Subsecretaría de Coordinación Pedagó;;biblioteca.docente@bue.edu.ar;2024
28;782;ACAP;22 ene. 2024 15:59;Media;;22 ene. 2024 16:07;ACAP;Finalizado;5. Cerrado con equipo pedagógico;Dirección Biblioteca del Docente (Subsecretaría de Coordinación Pedagó Dirección Biblioteca del Docente (Subsecretaría de Coordinación Pedagó;;biblioteca.docente@bue.edu.ar;2024
27;781;ACAP;22 ene. 2024 15:48;Media;;22 ene. 2024 15:53;ACAP;Finalizado;5. Cerrado con equipo pedagógico;Dirección Biblioteca del Docente (Subsecretaría de Coordinación Pedagó Dirección Biblioteca del Docente (Subsecretaría de Coordinación Pedagó;;biblioteca.docente@bue.edu.ar;2024
26;780;ACAP;22 ene. 2024 15:44;Media;;22 ene. 2024 15:44;ACAP;Finalizado;5. Cerrado con equipo pedagógico;Mejores Hospitales S.A Mejores Hospitales S.A;;;2024
25;779;ACAP;22 ene. 2024 15:23;Media;;22 ene. 2024 15:30;ACAP;Finalizado;5. Cerrado con equipo pedagógico;UBA - Facultad de Farmacia y Bioquímica UBA - Facultad de Farmacia y Bioquímica;;info@ffyb.uba.ar;2024
24;778;ACAP;19 ene. 2024 16:10;Media;;23 ene. 2024 16:03;ACAP;En curso;3. En proceso;ECOPARQUE ECOPARQUE;;;2024
23;777;ACAP;17 ene. 2024 12:53;Media;;17 ene. 2024 12:53;ACAP;Nuevo;;TACHA Fundación Mecenas;;;2024
22;776;ACAP;17 ene. 2024 12:23;Media;;23 ene. 2024 11:11;ACAP;En curso;4. Avanzado;Sturla Sturla Viajes;;;2024
21;775;ACAP;17 ene. 2024 11:53;Media;;2 feb. 2024 11:26;ACAP;En curso;4. Avanzado;ISPEE Instituto Superior del Profesorado en Educación Especial;;;2024
20;774;ACAP;17 ene. 2024 11:51;Media;;2 feb. 2024 11:31;ACAP;En curso;4. Avanzado;ISPEE Instituto Superior del Profesorado en Educación Especial;;;2024
19;773;ACAP;17 ene. 2024 11:30;Media;;2 feb. 2024 11:55;ACAP;En curso;4. Avanzado;Centro Mercado Smart Market;;;2024
;;;;;;;;;;;;;
18;772;ACAP;17 ene. 2024 11:08;Media;;2 feb. 2024 11:36;ACAP;En curso;4. Avanzado;ISPM Instituto Superior Perito Moreno;;;2024
17;771;ACAP;17 ene. 2024 11:07;Media;;2 feb. 2024 11:36;ACAP;En curso;4. Avanzado;ISPM Instituto Superior Perito Moreno;;;2024
16;770;ACAP;17 ene. 2024 11:04;Media;;2 feb. 2024 11:36;ACAP;En curso;4. Avanzado;ISPM Instituto Superior Perito Moreno;;;2024
15;769;ACAP;17 ene. 2024 10:07;Media;;2 feb. 2024 11:35;ACAP;En curso;4. Avanzado;ISPM Instituto Superior Perito Moreno;;;2024
14;763;ACAP;12 ene. 2024 11:16;Media;;15 ene. 2024 11:18;ACAP;Archivado;9. Mal cargado;Solange Rodriguez;;holatacha@gmail.com;NO VISIBLE
13;762;ACAP;12 ene. 2024 10:20;Media;;15 ene. 2024 11:18;ACAP;Archivado;9. Mal cargado;José Bermúdez;;jbermudez@cliba.com.ar;NO VISIBLE
12;761;ACAP;12 ene. 2024 10:09;Media;;15 ene. 2024 11:17;ACAP;Archivado;9. Mal cargado;Gerardo Villán;;villan@ispm.edu.ar;NO VISIBLE
11;760;ACAP;11 ene. 2024 11:34;Media;;29 ene. 2024 10:36;ACAP;En curso;3. En proceso;Radio de la Ciudad LS1 - Sec. Medios y Prensa Radio de la Ciudad LS1 - Sec. Medios y Prensa;;radio@mail.no;2024 Participa
10;759;ACAP;11 ene. 2024 11:33;Media;;29 ene. 2024 10:36;ACAP;En curso;3. En proceso;Radio de la Ciudad LS1 - Sec. Medios y Prensa Radio de la Ciudad LS1 - Sec. Medios y Prensa;;radio@mail.no;2024 Participa
9;756;ACAP;4 ene. 2024 12:11;Media;;4 ene. 2024 16:07;ACAP;En curso;4. Avanzado;Wyndham Hoteles Wyndham Hoteles;;;2024
8;755;ACAP;4 ene. 2024 10:56;Media;;29 ene. 2024 10:42;ACAP;En curso;3. En proceso;OSDE - Organización de Servicios Directos Empresarios OSDE - Organización de Servicios Directos Empresarios;;;2024
7;444;ACAP;7 nov. 2023 17:21;Media;;27 nov. 2023 14:27;ACAP;Archivado;0. Se retira de la oferta;ECOPARQUE ECOPARQUE;;;NO VISIBLE
6;443;ACAP;7 nov. 2023 16:48;Media;;27 nov. 2023 15:14;ACAP;En curso;4. Avanzado;Automoviles San Jorge Automoviles San Jorge;;;2024
5;442;ACAP;7 nov. 2023 15:51;Media;;31 ene. 2024 17:36;ACAP;Rechazado;7. Oferta pobre para presentar a las escuelas;Dirección General de Áreas de Conservación Dirección General de Áreas de Conservación;Ciudad Autónoma de Buenos Aires;o.medina@buenosaires.gob.ar;2024 NO participa
4;441;ACAP;7 nov. 2023 15:44;Media;;31 ene. 2024 11:20;ACAP;Archivado;9. Mal cargado;POWERCHINA Ltd. Sucursal Argentina POWERCHINA Ltd. Sucursal Argentina;Ciudad Autónoma de Buenos Aires;argentina@powerchina-intl.com;NO VISIBLE
3;430;ACAP;7 nov. 2023 10:14;Media;;23 ene. 2024 18:11;ACAP;Archivado;9. Mal cargado;Sofia Hammar;;sh@fundacionriver.org.ar;NO VISIBLE
2;380;ACAP;31 oct. 2023 16:00;Media;;23 ene. 2024 18:20;ACAP;Archivado;9. Mal cargado;Kainos Kainos SAU Argentina;;gustavo.fernandez@kainos.com;NO VISIBLE
1;275;ACAP;19 oct. 2023 15:32;Baja;;31 ene. 2024 11:18;ACAP;Archivado;10. Prueba;SECLYT Secretaria Legal y Tecnica;;rrhh_seclyt@buenosaires.gob.ar;NO VISIBLE
